target,numReplicas,numThreads,numOps,readsRatio,distribution,throughput,latency
wgla,3,300,1000,0.5,-1.0,26331.20,109.49
wgla,3,300,1000,0.5,-1.0,28572.50,65.65
wgla,3,300,1000,0.5,-1.0,21282.20,104.39
jpaxos,3,300,1000,0.5,-1.0,7658.20,120.26
jpaxos,3,300,1000,0.5,-1.0,14836.60,62.21
jpaxos,3,300,1000,0.5,-1.0,28822.50,32.62
wgla,3,350,1000,0.5,-1.0,15029.00,158.04
wgla,3,350,1000,0.5,-1.0,23897.80,133.57
wgla,3,350,1000,0.5,-1.0,19682.00,142.55
wgla,3,350,1000,0.5,-1.0,21792.40,152.92
wgla,3,250,1000,0.5,-1.0,28206.80,65.56
