target,numReplicas,numThreads,numOps,readsRatio,distribution,throughput,latency
wgla,3,280,1000,0.5,-1.0,48884.00,29.27
wgla,3,280,1000,0.5,-1.0,47219.67,30.33
wgla,3,280,1000,0.5,-1.0,49569.83,28.98
jpaxos,3,250,1000,0.5,-1.0,4567.00,449.24
jpaxos,3,250,1000,0.5,-1.0,3720.00,355.99
wgla,3,300,1000,0.5,-1.0,11022.67,150.37
wgla,3,300,1000,0.5,-1.0,9568.17,312.19
wgla,3,330,1000,0.5,-1.0,49302.50,34.65
wgla,3,330,1000,0.5,-1.0,51681.67,33.17
wgla,3,330,1000,0.5,-1.0,36562.33,51.19
wgla,3,300,1000,0.5,-1.0,49095.17,31.83
wgla,3,300,1000,0.5,-1.0,49816.00,31.23
wgla,3,300,1000,0.5,-1.0,42421.67,36.78
wgla,3,300,1000,0.5,-1.0,45775.67,34.48
wgla,3,300,1000,0.5,-1.0,50832.17,30.67
wgla,3,350,1000,0.5,-1.0,47307.50,38.76
wgla,3,350,1000,0.5,-1.0,47712.00,38.49
wgla,3,350,1000,0.5,-1.0,49512.83,37.51
wgla,3,350,1000,0.5,-1.0,39643.17,46.52
jpaxos,3,300,1000,0.5,-1.0,50125.03,32.19
jpaxos,3,300,1000,0.5,-1.0,46721.42,30.45
jpaxos,3,300,1000,0.5,-1.0,1923.50,805.78
jpaxos,3,350,1000,0.5,-1.0,1830.50,1023.92
jpaxos,3,350,1000,0.5,-1.0,2308.00,818.93
jpaxos,3,350,1000,0.5,-1.0,1920.67,983.37
wgla,3,400,1000,0.5,-1.0,1557.00,1378.81
wgla,3,400,1000,0.5,-1.0,1775.67,1177.15
wgla,3,400,1000,0.5,-1.0,6707.50,328.03
jpaxos,3,400,1000,0.5,-1.0,3193.50,709.59
jpaxos,3,400,1000,0.5,-1.0,2092.33,1036.33
jpaxos,3,400,1000,0.5,-1.0,2799.00,962.77
jpaxos,3,400,1000,0.5,-1.0,6223.00,371.41
jpaxos,3,400,1000,0.5,-1.0,2145.17,948.34
wgla,3,430,1000,0.5,-1.0,14909.00,166.45
wgla,3,430,1000,0.5,-1.0,1765.50,1314.76
wgla,3,430,1000,0.5,-1.0,1470.00,1601.80
jpaxos,3,430,1000,0.5,-1.0,2425.67,915.68
jpaxos,3,430,1000,0.5,-1.0,2583.33,853.28
jpaxos,3,430,1000,0.5,-1.0,6175.67,384.10
jpaxos,3,430,1000,0.5,-1.0,2450.33,1007.83
wgla,3,450,1000,0.5,-1.0,1809.17,1319.61
wgla,3,450,1000,0.5,-1.0,7361.17,477.19
wgla,3,450,1000,0.5,-1.0,1931.50,1230.41
wgla,3,450,1000,0.5,-1.0,1826.00,1291.22
jpaxos,3,450,1000,0.5,-1.0,2303.50,1015.68
jpaxos,3,450,1000,0.5,-1.0,2523.17,911.92
